clearingEventId,organisationName,buyVolumeInMWh,sellVolumeInMWh,eventStartTime,eventEndTime,ptuStartTime,ptuEndTime,buyVolumeInMW,sellVolumeInMW,eventDurationHours,ptuDurationMinutes
c2994a8a-7995-40c3-be7c-e17201f4c34d,TenneT,121.6,121.6,2025-10-04 10:00:00+00:00,2025-10-04 15:00:00+00:00,2025-10-04 11:30:00+00:00,2025-10-04 11:45:00+00:00,21.4,21.4,5.0,15.0
c2994a8a-7995-40c3-be7c-e17201f4c34d,TenneT,121.6,121.6,2025-10-04 10:00:00+00:00,2025-10-04 15:00:00+00:00,2025-10-04 11:15:00+00:00,2025-10-04 11:30:00+00:00,21.4,21.4,5.0,15.0
c2994a8a-7995-40c3-be7c-e17201f4c34d,TenneT,121.6,121.6,2025-10-04 10:00:00+00:00,2025-10-04 15:00:00+00:00,2025-10-04 11:00:00+00:00,2025-10-04 11:15:00+00:00,21.4,21.4,5.0,15.0
c2994a8a-7995-40c3-be7c-e17201f4c34d,TenneT,121.6,121.6,2025-10-04 10:00:00+00:00,2025-10-04 15:00:00+00:00,2025-10-04 10:45:00+00:00,2025-10-04 11:00:00+00:00,21.4,21.4,5.0,15.0
c2994a8a-7995-40c3-be7c-e17201f4c34d,TenneT,121.6,121.6,2025-10-04 10:00:00+00:00,2025-10-04 15:00:00+00:00,2025-10-04 10:30:00+00:00,2025-10-04 10:45:00+00:00,21.4,21.4,5.0,15.0
c2994a8a-7995-40c3-be7c-e17201f4c34d,TenneT,121.6,121.6,2025-10-04 10:00:00+00:00,2025-10-04 15:00:00+00:00,2025-10-04 10:15:00+00:00,2025-10-04 10:30:00+00:00,21.4,21.4,5.0,15.0
c2994a8a-7995-40c3-be7c-e17201f4c34d,TenneT,121.6,121.6,2025-10-04 10:00:00+00:00,2025-10-04 15:00:00+00:00,2025-10-04 10:00:00+00:00,2025-10-04 10:15:00+00:00,21.4,21.4,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 13:45:00+00:00,2025-10-02 14:00:00+00:00,85.0,85.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 13:30:00+00:00,2025-10-02 13:45:00+00:00,85.0,85.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 13:15:00+00:00,2025-10-02 13:30:00+00:00,85.0,85.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 13:00:00+00:00,2025-10-02 13:15:00+00:00,85.0,85.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 12:45:00+00:00,2025-10-02 13:00:00+00:00,91.6,91.6,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 12:30:00+00:00,2025-10-02 12:45:00+00:00,91.6,91.6,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 12:15:00+00:00,2025-10-02 12:30:00+00:00,91.6,91.6,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 12:00:00+00:00,2025-10-02 12:15:00+00:00,91.6,91.6,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 11:45:00+00:00,2025-10-02 12:00:00+00:00,200.0,200.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 11:30:00+00:00,2025-10-02 11:45:00+00:00,200.0,200.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 11:15:00+00:00,2025-10-02 11:30:00+00:00,200.0,200.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 11:00:00+00:00,2025-10-02 11:15:00+00:00,200.0,200.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 10:45:00+00:00,2025-10-02 11:00:00+00:00,113.2,113.2,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 10:30:00+00:00,2025-10-02 10:45:00+00:00,113.2,113.2,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 10:15:00+00:00,2025-10-02 10:30:00+00:00,113.2,113.2,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 10:00:00+00:00,2025-10-02 10:15:00+00:00,113.2,113.2,5.0,15.0
